"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Harmothoe imbricata","Harmothoe imbricata","annelida","GoMA_census_fauna","Harmothoe imbricata","Harmothoe imbricata",1,115,"2533419553","1316018712|2070381981|2070381861|2070381807|2070381783|2070381759|2070381747|2070381723|2070381721|2070381625|1877091881|1877091879|1877091877|1877091875|1877091873|1877091871|1877091869|1877091867|1877091865|1877091863|1877091861|1877091859|1786109656|1786109653|1786109650|1786109647|1786109644|1786109641|1786109638|1786109635|1786109632|1786109628|1786007246|1786007244|1786007242|1786007240|1786007238|1786007236|1786007234|1786007232|1786007227|1786007225|1786007223|1786007221|1786007219|1786007217|1786007215|1786007213|1786007211|1786007209|820720682|820720458|820719699|323109077|1509160816|1489968368|1383527877|61651957|305694116|305694114|305694112|305694110|305694108|305694106|305694104|305694102|305694100|305694098|305694096|305694094|305694092|305694090|305694088|305694086|305694084|305694082|305694080|305694078|305694076|305694074|305694072|305694070|305694068|305694066|305694064|305694062|305694060|305694058|305694056|305694054|305694052|305694050|305694048|305694046|305694044|305694042|305694040|305694038|305694036|305694034|305694032|305694030|305694028|305694026|305694024|305694022|305694020|305694018|305694016|305694014|305694012|305694010|305694008|305694006|305694004",51,"GQ478984.1|MZ580842.1|MZ580803.1|MZ580815.1|GQ478970.1|GQ478966.1|GQ478963.1|GQ478972.1|GQ478964.1|GQ478975.1|GQ478976.1|GQ478969.1|GQ478965.1|GQ478968.1|GQ478967.1|GQ478973.1|MZ580773.1|MZ580902.1|GQ478937.1|MN850739.1|MN850737.1|MN850738.1|MN850736.1|MN850774.1|MN850773.1|MN850772.1|MN852399.1|MN852401.1|MN852396.1|MN852404.1|MN852402.1|MN852405.1|MN850777.1|MN852397.1|MN850775.1|MN850745.1|MN852400.1|MN852403.1|MN850743.1|GQ478942.1|HQ941715.1|GQ478932.1|GQ478977.1|MT735721.1|MT735729.1|MT735719.1|MT735723.1|MT735728.1|GQ478939.1|GQ478938.1|AY839580.1|GQ478946.1|GQ478944.1|GQ478945.1|GQ478985.1|MN850741.1|MN850742.1|MN852398.1|GQ478981.1|GQ478934.1|GQ478957.1|MZ580791.1|GQ478949.1|GQ478951.1|GQ478950.1|MT735724.1|GQ478948.1|GQ478947.1|MT735727.1|MT735725.1|MT735726.1|MN850770.1|MN850771.1|GQ478979.1|GQ478980.1|MZ580772.1|KM612232.1|GQ478962.1|GQ478961.1|GQ478941.1|GQ478956.1|GQ478955.1|MG421478.1|KM611827.1|GQ478978.1|GQ478982.1|GQ478933.1|GQ478987.1|GQ478959.1|GQ478960.1|GQ478958.1|MZ580785.1|GQ478953.1|GQ478940.1|GQ478983.1|GQ478936.1|GQ478943.1|MG421764.1|GQ478935.1|MF544517.1|MK858187.1","Harmothoe imbricata","1",116
"Harpacticus littoralis","Harpacticus littoralis","arthropoda","GoMA_census_fauna","Harpacticus littoralis","Harpacticus littoralis",0,0,"","",NA,"na","na","na",0
"Harpinia crenulata","Harpinia crenulata","arthropoda","GoMA_census_fauna","Harpinia crenulata","Harpinia crenulata",0,0,"","",NA,"na","na","na",0
"Harpinia plumosa","Harpinia plumosa","arthropoda","GoMA_census_fauna","Harpinia plumosa","Harpinia plumosa",0,0,"","",NA,"na","na","na",0
"Harpinia propinqua","Harpinia propinqua","arthropoda","GoMA_census_fauna","Harpinia propinqua","Harpinia propinqua",0,0,"","",NA,"na","na","na",0
"Harpinia truncata","Harpinia truncata","arthropoda","GoMA_census_fauna","Harpinia truncata","Harpinia truncata",0,0,"","",NA,"na","na","na",0
"Hartmania moorei","Hartmania moorei","annelida","GoMA_census_fauna","Hartmania moorei","Hartmania moorei",0,0,"","",NA,"na","na","na",0
"Hedylopsis riseri","Hedylopsis riseri","mollusca","GoMA_census_fauna","Hedylopsis riseri","Hedylopsis riseri",0,0,"","",NA,"na","na","na",0
"Helisoma anceps","Helisoma anceps","mollusca","GoMA_census_fauna","Helisoma anceps","Helisoma anceps",0,12,"","1503041878|1316019626|1316017966|820720455|820720214|820720201|820719958|820719891|820719717|1421471275|1421471255|330902260",11,"MG514686.1|MF544974.1|MF544144.1|KM612145.1|KM612048.1|KM611923.1|KM612043.1|KM611952.1|KM611836.1|MH587758.1|MH587749.1|HQ660034.1","Helisoma anceps","1",12
"Helisoma companulatum","Helisoma companulatum","mollusca","GoMA_census_fauna","Helisoma companulatum","Helisoma companulatum",0,0,"","",NA,"na","na","na",0
