"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Gilvossius setimanus","Gilvossius setimanus","arthropoda","GoMA_census_fauna","Gilvossius setimanus","Gilvossius setimanus",0,7,"","2432719046|2432718894|2432718552|2432718398|2432718250|2432717760|2432717684",7,"OQ323336.1|OQ323260.1|OQ323089.1|OQ323012.1|OQ322938.1|OQ322693.1|OQ322655.1","Gilvossius setimanus","1",7
"Gloiobdella elongata","Gloiobdella elongata","annelida","GoMA_census_fauna","Gloiobdella elongata","Gloiobdella elongata",0,0,"","",NA,"na","na","na",0
"Glossiphonia complanata","Glossiphonia complanata","annelida","GoMA_census_fauna","Glossiphonia complanata","Glossiphonia complanata",2,24,"2424877518|2337930259","2259276414|2259276412|2259276406|2259276402|2259276398|2259276394|2259276380|2259276352|2259276312|2259276306|1982046597|1982045723|1967306040|1800411344|1726248383|1726248381|1726248379|1726248377|1726248347|1239402628|309252798|16151104|38154518|2352341",22,"ON841653.1|ON841652.1|ON841649.1|ON841647.1|ON841645.1|ON841643.1|ON841636.1|ON841622.1|ON841602.1|ON841599.1|MW459764.1|MW459460.1|MW538534.1|MN986516.1|MK479280.1|MK479279.1|MK479278.1|MK479277.1|MK479262.1|MF458715.1|HM246608.1|AY047321.1|AY364859.1|AF003277.1|NC_069202.1|OM039422.1","Glossiphonia complanata","1",26
"Glycera capitata","Glycera capitata","annelida","GoMA_census_fauna","Glycera capitata","Glycera capitata",2,27,"959093808|959093794","1317844195|1569047582|305415386|299556001|299555969|299555917|299555885|299555873|299555859|299555843|299555825|299555705|299555369|299555205|299555157|299555107|299555101|299555099|299555095|301298579|288814925|288814923|288814921|665517782|584483229|305653777|305653775",23,"KY783694.1|MH337355.1|HQ023876.1|GU672553.1|GU672537.1|GU672511.1|GU672495.1|GU672474.1|GU672489.1|GU672465.1|GU672482.1|GU672405.1|GU672237.1|GU672155.1|GU672131.1|GU672102.1|GU672100.1|GU672106.1|GU672103.1|HM473749.1|GQ426660.1|GQ426658.1|KJ847309.1|GQ426659.1|KF815715.1|HQ024311.1|HQ024310.1|KT989320.1|KT989319.1","Glycera capitata","1",29
"Glycera dibranchiata","Glycera dibranchiata","annelida","GoMA_census_fauna","Glycera dibranchiata","Glycera dibranchiata",1,30,"959093780","1914073721|1914073719|1914073717|1914073715|1914073713|1914073711|1914073709|1914073707|1914073705|1914073703|1914073701|1914073699|1914073697|1563835170|1563835154|1497435799|305653233|305653231|305653229|305653227|305653225|305653223|305653221|305653219|305653217|305653215|305653213|305653211|305653209|66390975",27,"MN958902.1|MN958901.1|MN958900.1|MN958899.1|MN958898.1|MN958897.1|MN958896.1|MN958895.1|MN958894.1|MN958893.1|MN958890.1|MN958892.1|MN958891.1|MK308097.1|MK308089.1|MH936012.1|HQ024039.1|HQ024038.1|HQ024030.1|HQ024037.1|HQ024036.1|HQ024035.1|HQ024028.1|HQ024034.1|HQ024033.1|HQ024032.1|HQ024031.1|HQ024029.1|HQ024027.1|AY995210.1|KT989318.1","Glycera dibranchiata","1",31
"Glyphocrangon longirostris","Glyphocrangon longirostris","arthropoda","GoMA_census_fauna","Glyphocrangon longirostris","Glyphocrangon longirostris",0,0,"","",NA,"na","na","na",0
"Gnathia cerina","Gnathia cerina","arthropoda","GoMA_census_fauna","Gnathia cerina","Gnathia cerina",0,0,"","",NA,"na","na","na",0
"Gnathophausia gigas","Gnathophausia gigas","arthropoda","GoMA_census_fauna","Gnathophausia gigas","Gnathophausia gigas",0,0,"","",NA,"na","na","na",0
"Gnathophausia zoea","Gnathophausia zoea","arthropoda","GoMA_census_fauna","Gnathophausia zoea","Gnathophausia zoea",0,5,"","1450095975|1450095959|1450095949|1450095693|1315691129",5,"MH572683.1|MH572675.1|MH572670.1|MH572542.1|MF197273.1","Gnathophausia zoea","1",5
"Golfingia margaritacea margaritacea","Golfingia margaritacea margaritacea","annelida","GoMA_census_fauna","Golfingia margaritacea margaritacea","Golfingia margaritacea margaritacea",0,0,"","",NA,"na","na","na",0
"Golfingia minuta","Golfingia minuta","annelida","GoMA_census_fauna","Golfingia minuta","Golfingia minuta",0,0,"","",NA,"na","na","na",0
"Gonactinia prolifera","Gonactinia prolifera","cnidaria","GoMA_census_fauna","Gonactinia prolifera","Gonactinia prolifera",0,2,"","1430076090|1430075323",1,"MG935398.1|MG935148.1","Gonactinia prolifera","1",2
"Goniada maculata","Goniada maculata","annelida","GoMA_census_fauna","Goniada maculata","Goniada maculata",0,8,"","2063683645|1827390269|1827390267|305415394|305415392|305415390|305415388|1015812428",7,"MZ504163.1|MN256604.1|MN256603.1|HQ023880.1|HQ023879.1|HQ023878.1|HQ023877.1|KT307646.1","Goniada maculata","1",8
"Goniada norvegica","Goniada norvegica","annelida","GoMA_census_fauna","Goniada norvegica","Goniada norvegica",0,0,"","",NA,"na","na","na",0
"Gonionemus vertens","Gonionemus vertens","cnidaria","GoMA_census_fauna","Gonionemus vertens","Gonionemus vertens",0,4,"","1824640064|1383527851|1320927506|1146186780",4,"MN068285.1|MH242771.1|MF135185.1|KY451454.1","Gonionemus vertens","1",4
"Gorgonocephalus arcticus","Gorgonocephalus arcticus","echinodermata","GoMA_census_fauna","Gorgonocephalus arcticus","Gorgonocephalus arcticus",0,33,"","1818794893|1818794891|1818794889|1818794887|1818794885|1818794883|1818794881|1818794879|1818794877|1818794875|1818794873|1818794871|1818794869|1818794867|1818794865|323101733|323101731|301506655|301506653|301505547|301505545|301505543|1063426287|1063426219|1063426141|1063426117|1063426105|1063426031|1063426015|1063425991|301506651|301506649|301506647",24,"MT152657.1|MT152656.1|MT152655.1|MT152654.1|MT152653.1|MT152652.1|MT152651.1|MT152650.1|MT152649.1|MT152648.1|MT152647.1|MT152646.1|MT152645.1|MT152644.1|MT152643.1|HQ919138.1|HQ919137.1|HM542197.1|HM542196.1|HM543019.1|HM543017.1|HM543018.1|KU495901.1|KU495867.1|KU495828.1|KU495816.1|KU495810.1|KU495773.1|KU495765.1|KU495753.1|HM542195.1|HM542194.1|HM542193.1","Gorgonocephalus arcticus","1",33
"Graneledone verrucosa","Graneledone verrucosa","mollusca","GoMA_census_fauna","Graneledone verrucosa","Graneledone verrucosa",2,19,"2431509748|2413670200","2112675172|2112674954|2112674617|2112674434|2112674222|2112674215|2112674160|2112674152|2112674108|2112673924|2112673921|2112673918|2112673915|2112673542|2112673535|2112673528|2112673431|2112673424|4003433",9,"OK489777.1|OK489746.1|OK489671.1|OK489642.1|OK489612.1|OK489611.1|OK489603.1|OK489596.1|OK489560.1|OK489559.1|OK489492.1|OK489473.1|OK489602.1|OK489561.1|OK489558.1|OK489491.1|OK489490.1|OK489472.1|AF000042.1|NC_069993.1|ON367814.1","Graneledone verrucosa","1",21
"Grillotia erinaceus","Grillotia erinaceus","platyhelminthes","GoMA_census_fauna","Grillotia erinaceus","Grillotia erinaceus",0,0,"","",NA,"na","na","na",0
"Gronella groenlandica","Gronella groenlandica","arthropoda","GoMA_census_fauna","Gronella groenlandica","Gronella groenlandica",0,0,"","",NA,"na","na","na",0
"Gyptis vittata","Gyptis vittata","annelida","GoMA_census_fauna","Gyptis vittata","Gyptis vittata",0,0,"","",NA,"na","na","na",0
"Gyraulus deflectus","Gyraulus deflectus","mollusca","GoMA_census_fauna","Gyraulus deflectus","Gyraulus deflectus",0,0,"","",NA,"na","na","na",0
"Gyrodactylus adspersi","Gyrodactylus adspersi","platyhelminthes","GoMA_census_fauna","Gyrodactylus adspersi","Gyrodactylus adspersi",0,0,"","",NA,"na","na","na",0
"Gyrodactylus groenlandicus","Gyrodactylus groenlandicus","platyhelminthes","GoMA_census_fauna","Gyrodactylus groenlandicus","Gyrodactylus groenlandicus",0,0,"","",NA,"na","na","na",0
"Gyrodactylus pleuronecti","Gyrodactylus pleuronecti","platyhelminthes","GoMA_census_fauna","Gyrodactylus pleuronecti","Gyrodactylus pleuronecti",0,0,"","",NA,"na","na","na",0
"Gyrodactylus salmonis","Gyrodactylus salmonis","platyhelminthes","GoMA_census_fauna","Gyrodactylus salmonis","Gyrodactylus salmonis",0,16,"","1786503163|1786503160|1786503157|1786503155|1786503152|1786503150|1786503148|193203746|256932526|256932523|256932520|380343418|256932546|256932543|256932540|256932537",12,"MN854078.1|MN854077.1|MN854076.1|MN854075.1|MN854074.1|MN854073.1|MN854072.1|EF524572.1|GQ368224.1|GQ368223.1|GQ368222.1|JN230352.1|GQ368230.1|GQ368229.1|GQ368228.1|GQ368227.1","Gyrodactylus salmonis","1",16
"Haemobaphes cyclopterina","Haemobaphes cyclopterina","arthropoda","GoMA_census_fauna","Haemobaphes cyclopterina","Haemobaphes cyclopterina",0,0,"","",NA,"na","na","na",0
"Halammohydra octopodides","Halammohydra octopodides","cnidaria","GoMA_census_fauna","Halammohydra octopodides","Halammohydra octopodides",0,7,"","2418078234|2418078231|2418078229|2418078227|2418078224|2418078221|2418078218",7,"OQ134437.1|OQ134436.1|OQ134435.1|OQ134434.1|OQ134433.1|OQ134432.1|OQ134431.1","Halammohydra octopodides","1",7
"Halcampa duodecimcirrata","Halcampa duodecimcirrata","cnidaria","GoMA_census_fauna","Halcampa duodecimcirrata","Halcampa duodecimcirrata",0,0,"","",NA,"na","na","na",0
"Halecium articulosum","Halecium articulosum","cnidaria","GoMA_census_fauna","Halecium articulosum","Halecium articulosum",0,0,"","",NA,"na","na","na",0
"Halecium beanii","Halecium beanii","cnidaria","GoMA_census_fauna","Halecium beanii","Halecium beanii",0,1,"","1430075648",1,"MG935254.1","Halecium beanii","1",1
"Halecium halecium","Halecium halecium","cnidaria","GoMA_census_fauna","Halecium halecium","Halecium halecium",0,0,"","",NA,"na","na","na",0
"Halecium muricatum","Halecium muricatum","cnidaria","GoMA_census_fauna","Halecium muricatum","Halecium muricatum",0,0,"","",NA,"na","na","na",0
"Halecium sessile","Halecium sessile","cnidaria","GoMA_census_fauna","Halecium sessile","Halecium sessile",0,0,"","",NA,"na","na","na",0
"Halichondria bowerbanki","Halichondria bowerbanki","porifera","GoMA_census_fauna","Halichondria bowerbanki","Halichondria bowerbanki",0,17,"","2309355898|2309355896|2432718884|2432717988|2432717772|2061149137|2061149134|2061149131|2061149128|2061149122|2061149069|2061149066|2061149060|2061149051|2061149009|2061148331|17016998",14,"OP535458.1|OP535457.1|OQ323255.1|OQ322807.1|OQ322699.1|MZ487265.1|MZ487262.1|MZ487264.1|MZ487263.1|MZ487260.1|MZ487242.1|MZ487241.1|MZ486936.1|MZ487239.1|MZ487236.1|MZ487221.1|AF437299.1","Halichondria bowerbanki","1",17
"Halichondria panicea","Halichondria panicea","porifera","GoMA_census_fauna","Halichondria panicea","Halichondria panicea",3,45,"1535792319|1514866435|1514866072","2309355902|2309355900|2061149140|2061149125|2061149119|2061149116|2061149104|2061149101|2061149098|2061149095|2061149092|2061149089|2061149086|2061149083|2061149080|2061149077|2061149074|2061148329|2061148327|2061148325|2061148323|2061148321|2061148319|2061148317|2061148315|2061148313|2061148311|2061148309|2061148307|2061147851|2061147842|2061147830|2037095143|1536901735|1489970648|1497435795|1321068874|1321068872|1321068870|1321068868|1321068866|1321068864|17016988|118505127|512764451",30,"OP535460.1|OP535459.1|MZ487266.1|MZ487261.1|MZ487250.1|MZ487249.1|MZ486932.1|MZ486928.1|MZ487259.1|MZ487253.1|MZ487251.1|MZ487247.1|MZ487246.1|MZ486931.1|MZ486929.1|MZ486927.1|MZ486745.1|MZ486738.1|MZ487258.1|MZ487254.1|MZ487252.1|MZ486742.1|MZ487248.1|MZ486924.1|MZ487245.1|MZ487244.1|MZ486935.1|MZ486934.1|MZ486933.1|MZ486930.1|MZ486926.1|MZ486925.1|MN448237.1|LC436893.1|MH888022.1|MG422903.1|KY492592.1|KY492591.1|KY492590.1|KY492589.1|KY492588.1|KY492587.1|AF437294.1|EF095183.1|KC869423.1|NC_040168.1|MH756603.1|MH756604.1","Halichondria panicea","1",48
"Halichondria sitiens","Halichondria sitiens","porifera","GoMA_census_fauna","Halichondria sitiens","Halichondria sitiens",0,0,"","",NA,"na","na","na",0
"Haliclona canaliculata","Haliclona canaliculata","porifera","GoMA_census_fauna","Haliclona canaliculata","Haliclona canaliculata",0,0,"","",NA,"na","na","na",0
"Haliclona oculata","Haliclona oculata","porifera","GoMA_census_fauna","Haliclona oculata","Haliclona oculata",0,9,"","2061147848|2061147845|2061147839|2061147836|2061147833|48772848|349587295|158937706|320172573",8,"MZ486744.1|MZ486739.1|MZ486743.1|MZ486741.1|MZ486740.1|AY625661.1|JN242199.1|EF655743.1|HQ379430.1","Haliclona oculata","1",9
