"source_binomial","phylum","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Semibalanus balanoides","arthropoda","GoMA_census_fauna","Semibalanus balanoides","Semibalanus balanoides","Semibalanus balanoides","5","911","1511250860|1904688122|1491735785|1491735771|1491735757","1402373834|1402372394|1389455179|1389451525|1830622694|1830622692|1830622690|1830622688|1830622686|1830622684|1830622682|1830622680|1830622678|1830622676|1830622674|1830622672|1830622670|1830622668|1830622666|1830622664|1830622662|1830622660|1830622658|1830622656|1830622654|1830622652|1830622650|1830622648|1830622646|1830622644|1830622642|1830622640|1830622638|1830622636|1830622634|1830622632|1830622630|1830622628|1830622626|1830622624|1830622622|1830622620|1830622618|1830622616|1830622614|1830622612|1830622610|1830622608|1830622606|1830622604|1830622602|1830622600|1830622598|1830622596|1830622594|1830622592|1830622590|1830622588|1830622586|1830622584|1830622582|1830622580|1830622578|1830622576|1830622574|1830622572|1830622570|1830622568|1830622566|1830622564|1830622562|1830622560|1830622558|1830622556|1830622554|1830622552|1830622550|1830622548|1830622546|1830622544|1830622542|1830622540|1830622538|1830622536|1830622534|1830622532|1830622530|1830622528|1830622526|1830622524|1830622522|1830622520|1830622518|1830622516|1830622514|1830622512|1830622510|1830622508|1830622506|1830622504|1830622502|1830622500|1830622498|1830622496|1830622494|1830622492|1830622490|1830622488|1830622486|1830622484|1830622482|1830622480|1830622478|1830622476|1830622474|1830622472|1830622470|1830622468|1830622466|1830622464|1830622462|1830622460|1830622458|1830622456|1830622454|1830622452|1830622450|1830622448|1830622446|1830622444|1830622442|1830622440|1830622438|1830622436|1830622434|1830622432|1830622430|1830622428|1830622426|1830622424|1830622422|1830622420|1830622418|1830622416|1830622414|1830622412|1830622410|1830622408|1830622406|1830622404|1830622402|1830622400|1830622398|1830622396|1830622394|1830622392|1830622390|1830622388|1830622386|1830622384|1830622382|1830622380|1830622378|1830622376|1830622374|1830622372|1830622370|1830622368|1830622366|1830622364|1830622362|1830622360|1830622358|1830622356|1830622354|1830622352|1830622350|1830622348|1830622346|1830622344|1830622342|1830622340|1830622338|1830622336|1830622334|1830622332|1830622330|1830622328|1830622326|1830622324|1830622322|1830622320|1830622318|1830622316|1830622314|1830622312|1830622310|1830622308|1830622306|1830622304|1830622302|1830622300|1830622298|1830622296|1830622294|1830622292|1830622290|1830622288|1830622286|1830622284|1830622282|1830622280|1830622278|1830622276|1830622274|1830622272|1830622270|1830622268|1830622266|1830622264|1830622262|1830622260|1830622258|1830622256|1830622254|1830622252|1830622250|1830622248|1830622246|1830622244|1830622242|1830622240|1830622238|1830622236|1830622234|1830622232|1830622230|1830622228|1830622226|1830622224|1830622222|1830622220|1830622218|1830622216|1830622214|1830622212|1830622210|1830622208|1830622206|1830622204|1830622202|1830622200|1830622198|1830622196|1830622194|1830622192|1830622190|1830622188|1830622186|1830622184|1830622182|1830622180|1830622178|1830622176|1830622174|1830622172|1830622170|1830622168|1830622166|1830622164|1830622162|1830622160|1830622158|1830622156|1830622154|1830622152|1830622150|1830622148|1830622146|1830622144|1830622142|1830622140|1830622138|1830622136|1830622134|1830622132|1830622130|1830622128|1830622126|1830622124|1830622122|1830622120|1830622118|1830622116|1830622114|1830622112|1830622110|1830622108|1830622106|1830622104|1830622102|1830622100|1830622098|1830622096|1830622094|1830622092|1830622090|1830622088|1830622086|1830622084|1830622082|1830622080|1830622078|1830622076|1830622074|1830622072|1830622070|1830622068|1830622066|1830622064|1830622062|1830622060|1830622058|1830622056|1830622054|1830622052|1830622050|1830622048|1830622046|1830622044|1830622042|1830622040|1830622038|1830622036|1830622034|1830622032|1830622030|1830622028|1830622026|1830622024|1830622022|1830622020|1830622018|1830622016|1830622014|1830622012|1830622010|1830622008|1830622006|1830622004|1830622002|1830622000|1830621998|1830621996|1830621994|1830621992|1830621990|1830621988|1830621986|1830621984|1830621982|1830621980|1830621978|1830621976|1830621974|1830621972|1830621970|1830621968|1830621966|1830621964|1830621962|1830621960|1830621958|1830621956|1830621954|1830621952|1830621950|1830621948|1830621946|1830621944|1830621942|1830621940|1830621938|1830621936|1830621934|1830621932|1830621930|1830621928|1830621926|1830621924|1830621922|1830621920|1830621918|1830621916|1830621914|1830621912|1830621910|1830621908|1830621906|1830621904|1830621902|1830621900|1830621898|1830621896|1830621894|1830621892|1830621890|1830621888|1830621886|1830621884|1830621882|1830621880|1830621878|1830621876|1830621874|1830621872|1830621870|1830621868|1830621866|1830621864|1830621862|1830621860|1830621858|1830621856|1830621854|1830621852|1830621850|1830621848|1830621846|1830621844|1830621842|1830621840|1830621838|1830621836|1830621834|1830621832|1830621830|1830621828|1830621826|1830621824|1830621822|1830621820|1830621818|1830621816|1830621814|1830621812|1830621810|1830621808|1830621806|1830621804|1830621802|1830621800|1830621798|1830621796|1830621794|1830621792|1830621790|1830621788|1830621786|1830621784|1830621782|1830621780|1830621778|1830621776|1830621774|1830621772|1830621770|1830621768|1830621766|1830621764|1830621762|1830621760|1830621758|1830621756|1830621754|1830621752|1830621750|1830621748|1830621746|1830621744|1830621742|1830621740|1830621738|1830621736|1830621734|1830621732|1830621730|1830621728|1830621726|1830621724|1830621722|1830621720|1830621718|1830621716|1830621714|1830621712|1830621710|1830621708|1830621706|1830621704|1830621702|1830621700|1830621698|1830621696|1830621694|1830621692|1830621690|1830621688|1830621686|1830621684|1830621682|1830621680|1830621678|1830621676|1830621674|1830621672|1830621670|1830621668|1830621666|1830621664|1830621662|1830621660|1830621658|1877092979|1877092977|1877092975|1877092973|1877092971|1877092969|1877092967|1877092965|1877092963|1877092961|1877092959|1877092957|1877092955|1877092953|1877092951|1877092949|1877092947|1877092945|1877092943|1877092941|1877092939|1877092937|1877092935|1877092933|1877092931|1877092929|1877092927|1877092925|1877092923|1877092921|1877092919|1877092917|1877092915|1877092913|1877092911|1877092909|1877092907|1877092905|1877092903|1877092901|1877092899|1877092897|1877092895|1877092893|1877092891|1877092889|1877092887|1877092885|1877092883|1877092881|1877092879|1877092877|1877092875|1877092873|1877092871|1877092869|1877092867|1877092865|1877092863|1823933677|1823933603|323121391|323121389|323121387|323121385|323121383|1735571307|1735571305|1421471177|301043412|299027521|299027519|1430075559|1430074787|1502978734|1502978662|1502976933|1502976626|1502976548|1502976312|1502971959|1502970628|1502970612|1502970518|1502969376|1502969206|1502962948|1502962946|1502962944|1502962942|1502962940|1502962938|1502962936|1502962934|1502962932|1502962930|1502962928|1502962926|1502962924|1502962922|1502962920|1502962918|1502962916|1502962914|1502962912|1502962910|1502962908|1502962906|1502962904|1502962902|1502962900|1502962898|1502962896|1502962894|1502962892|1502962890|1502962888|1502962886|1502962884|1502962882|1502962880|1502962878|1502962876|1502962874|1502962872|1502962870|1502962868|1502962866|1502962864|1502962854|1502962852|1502962850|1502962848|1502962846|1502962844|1502962842|1502962840|1502962838|1502962836|1502962834|1502962832|1502962830|1502962828|1502962826|1502962824|1502962822|1502962820|1502962818|1502962816|1502962814|1502962812|1502962810|1502962808|1502962806|1502962804|1502962802|1502962800|1502962798|1502962796|1502962794|1502962792|1502962790|1502962788|1502962786|1502962784|1502962782|1502962780|1502962778|1502962776|1502962774|1502962772|1502962770|1502962768|1502962766|1502962764|1502962762|1502962760|1502962758|1502962756|1502962754|1502962752|1502962750|1502962748|1502962746|1502962744|1502962742|1502962740|1502962738|1502962736|1502962734|1502962732|1502962730|1502962728|1502962726|1502962724|1502962722|1502962720|1502962718|1502962716|1502962714|1502962712|1502962710|1502962708|1502962706|1502962704|1502962702|1502962700|1502962698|1502962696|1502962694|1502962692|1502962690|1502962688|1502962686|1502962684|1502962682|1502962680|1502962678|1502962676|1502962674|1502962672|1502962670|1502962668|1502962666|1502962664|1502962662|1502962660|1502962658|1502962656|1502962654|1502962652|1502962650|1502962648|1502962646|1502962644|1502962642|1502962640|1502962638|1502962636|1502962634|1502962632|1502962630|1502962628|1502962626|1502962624|1502962622|1502962620|1502962618|1502962616|1502962614|1502962612|1502962610|1502962608|1502962606|1497449646|1497447994|1497447654|1497446915|1497446853|1497446839|1497446753|1495353466|1495353186|1495353018|1495352872|1495352568|1495352188|1495351724|1495348726|1495348204|1495346846|1465464141|1465464139|1421471185|1421471179|1402371656|1390636990|1390636988|1390636986|1390636984|1390636978|1390636976|7407635|7407633|7407631|7407629|7407627|7407625|7407623|7407621|7407619|7407617|7407615|7407613|7407611|7407609|7407607|7407605|7407603|7407601|7407599|7407597|7407595|7407593|7407591|7407589|7407587|7407585|7407583|7407581|7407579|7407577|7407575|7407573|7407571|7407569|7407567|7407565|7407563|7407561|7407559|7407557|7407555|7407553|7407551|7407549|7407547|7407545|7407543|7407541|7407539|7407537|7407535|7407533|7407531|7407529|7407527|7407525|7407523|7407521|7407519|7407517|7407515|7407513|7407511|7407509|7407507|7407505|7407503|7407501|7407499|226838125|226838123|226838121|226838119|226838117|959315789|936254468|936254386|936254352|936254294|936254022|936253944|936253790|936253670|936253628|936253582|936253178|936253164|936252540|936252476|936252442|936252436|936252362|936252240|857027067|857027064|857026997|857026994|857026991|857026988|299021823|299021821|299021819|299021817|299021815|284807247|15029068"
"Semirossia tenera","mollusca","GoMA_census_fauna","Semirossia tenera","Semirossia tenera","Semirossia tenera","0","1","","38374165"
"Sergestes arcticus","arthropoda","GoMA_census_fauna","Sergestes arcticus","Sergestes arcticus","Sergestes arcticus","0","3","","2054114001|2054113997|374717642"
"Sergia robusta","arthropoda","GoMA_census_fauna","Sergia robusta","Sergia robusta","Sergia robusta","0","82","","2054114039|2054114011|2054114003|2054113959|2054113947|2054113945|2054113937|1839347142|1839329795|1832983692|1832983690|1832983687|1832983684|1832983681|1812588688|1812588686|1812588684|1812588682|1812588680|1812588678|1812588676|1812588674|1812588672|1812588670|1812588668|1812588666|1812588664|1812588662|1812588660|1812588658|1812588656|1812588654|1812588652|1812588650|1812588648|1812588646|1812588644|1812588642|1812588640|1812588638|1812588636|1812588634|1812588632|1812588630|1812588628|1812588626|1812588624|1812588622|1812588620|1812588618|1812588616|1812588614|1812588612|1812588610|1812588608|1812588606|1812588604|1812588602|1812588600|1812588598|1812588596|1812588594|1812588592|1812588590|1812588588|1812588586|1812588584|1812588582|1812588580|1812588578|1812588576|367056855|367056853|367056851|816368459|374717768|374717766|374717764|374717762|374717646|374717644|113459293"
"Serratosagitta serratodentata","chaetognatha","GoMA_census_fauna","Serratosagitta serratodentata","Serratosagitta serratodentata","Serratosagitta serratodentata","0","0","",""
"Serratosagitta tasmanica","chaetognatha","GoMA_census_fauna","Serratosagitta tasmanica","Serratosagitta tasmanica","Serratosagitta tasmanica","0","0","",""
"Serripes groenlandicus","mollusca","GoM bivalvia species list","Serripes groenlandicus","Serripes groenlandicus","Serripes groenlandicus","0","0","",""
"Sertularella polyzonias","cnidaria","GoMA_census_fauna","Sertularella polyzonias","Sertularella polyzonias","Sertularella polyzonias","0","0","",""
"Sertularella rugosa","cnidaria","GoMA_census_fauna","Sertularella rugosa","Sertularella rugosa","Sertularella rugosa","0","0","",""
"Sertularia argentea","cnidaria","GoMA_census_fauna","Sertularia argentea","Sertularia argentea","Sertularia argentea","0","0","",""
"Sertularia cupressina","cnidaria","GoMA_census_fauna","Sertularia cupressina","Sertularia cupressina","Sertularia cupressina","0","0","",""
"Sertularia similis","cnidaria","GoMA_census_fauna","Sertularia similis","Sertularia similis","Sertularia similis","0","0","",""
"Sesarma reticulatum","arthropoda","New England crab species","Sesarma reticulatum","Sesarma reticulatum","Sesarma reticulatum","0","5","","1563835474|1563835464|1563835190|1079477969|168202899"
"Sigalion arenicola","annelida","GoMA_census_fauna","Sigalion arenicola","Sigalion arenicola","Sigalion arenicola","0","0","",""
"Siliqua costata","mollusca","GoMA_census_fauna","Siliqua costata","Siliqua costata","Siliqua costata","0","0","",""
"Siphonodentalium lobatum","mollusca","GoMA_census_fauna","Siphonodentalium lobatum","Siphonodentalium lobatum","Siphonodentalium lobatum","2","0","46358431|32895251",""
"Skeneopsis planorbis","mollusca","GoMA_census_fauna","Skeneopsis planorbis","Skeneopsis planorbis","Skeneopsis planorbis","0","1","","407025597"
"Slavina appendiculata","annelida","GoMA_census_fauna","Slavina appendiculata","Slavina appendiculata","Slavina appendiculata","0","7","","1509161146|1489970454|1489968982|1228304436|33330147|33330145|285029352"
"Solamen glandula","mollusca","GoM bivalvia species list","Solamen glandula","Solamen glandula","Solamen glandula","0","0","",""
"Solariella obscura","mollusca","GoMA_census_fauna","Solariella obscura","Solariella obscura","Solariella obscura","0","0","",""
"Solaster endeca","echinodermata","GoMA_census_fauna","Solaster endeca","Solaster endeca","Solaster endeca","0","10","","1430074652|299555739|1130480197|301507011|301507009|301507007|301507005|301507003|301507001|301505645"
"Solemya borealis","mollusca","GoM bivalvia species list","Solemya borealis","Solemya borealis","Solemya borealis","0","0","",""
"Solemya velum","mollusca","GoM bivalvia species list","Solemya velum","Solemya velum","Solemya velum","2","11","383931368|381278430","753264166|753264164|1391840098|347326469|254305165|254305163|254305161|254305159|254305157|520993108|1336148"
"Spathebothrium simplex","platyhelminthes","GoMA_census_fauna","Spathebothrium simplex","Spathebothrium simplex","Spathebothrium simplex","0","0","",""
"Sphaerodoridium claparedii","annelida","GoMA_census_fauna","Sphaerodoridium claparedii","Sphaerodoridium claparedii","Sphaerodoridium claparedii","0","0","",""
"Sphaerosyllis erinaceus","annelida","GoMA_census_fauna","Sphaerosyllis erinaceus","Sphaerosyllis erinaceus","Sphaerosyllis erinaceus","0","0","",""
"Sphaerosyllis hystrix","annelida","GoMA_census_fauna","Sphaerosyllis hystrix","Sphaerosyllis hystrix","Sphaerosyllis hystrix","0","0","",""
