"source_binomial","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Anser indicus","HarrisonGoldspiel_LandVertsNortheast","Anser indicus","Anser indicus","Anser indicus","2","1","722491577|702074663","37725797"
"Anser rossii","HarrisonGoldspiel_LandVertsNortheast","Anser rossii","Anser rossii","Anser rossii","0","1","","2213678"
"Anthus rubescens","HarrisonGoldspiel_LandVertsNortheast","Anthus rubescens","Anthus rubescens","Anthus rubescens","0","0","",""
"Antigone canadensis","HarrisonGoldspiel_LandVertsNortheast","Antigone canadensis","Antigone canadensis","Antigone canadensis","2","4","470226164|224504177","7339764|168805892|94471951|2547292"
"Antigonia capros","ReneeFrancolini_MaineFish","Antigonia capros","Antigonia capros","Antigonia capros","1","4","16357332","2327757710|906357779|906357778|56684216"
"Antrostomus carolinensis","HarrisonGoldspiel_LandVertsNortheast","Antrostomus carolinensis","Antrostomus carolinensis","Antrostomus carolinensis","0","1","","704294143"
"Antrostomus vociferus","HarrisonGoldspiel_LandVertsNortheast","Antrostomus vociferus","Antrostomus vociferus","Antrostomus vociferus","0","2","","148466949|4099777"
"Apalone mutica","HarrisonGoldspiel_LandVertsNortheast","Apalone mutica","Apalone mutica","Apalone mutica","0","1","","1751363403"
"Apalone spinifera","HarrisonGoldspiel_LandVertsNortheast","Apalone spinifera","Apalone spinifera","Apalone spinifera","3","1","1192790209|336089104|511347547","1778383"
"Apeltes quadracus","ReneeFrancolini_MaineFish","Apeltes quadracus","Apeltes quadracus","Apeltes quadracus","1","1","212725606","34106125"
"Aquila chrysaetos","HarrisonGoldspiel_LandVertsNortheast","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos","2","4","635155020|595649625","2030948395|2030948393|2030948391|84468571"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri","0","0","",""
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri","0","0","",""
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri","0","0","",""
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri","0","0","",""
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba","0","1","","33309275"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba","0","1","","33309275"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba","0","1","","33309275"
"Ardea alba","HarrisonGoldspiel_LandVertsNortheast","Ardea alba","Ardea alba","Ardea alba","0","1","","33309275"
"Ardea cinerea","HarrisonGoldspiel_LandVertsNortheast","Ardea cinerea","Ardea cinerea","Ardea cinerea","2","1","731978958|602625232","33309277"
"Ardea herodias","HarrisonGoldspiel_LandVertsNortheast","Ardea herodias","Ardea herodias","Ardea herodias","0","0","",""
"Ardenna gravis","HarrisonGoldspiel_LandVertsNortheast","Ardenna gravis","Ardenna gravis","Ardenna gravis","0","2","","7339772|559233"
"Ardenna griseus","HarrisonGoldspiel_LandVertsNortheast","Ardenna griseus","Ardenna griseus","Ardenna griseus","0","0","",""
"Arenaria interpres","HarrisonGoldspiel_LandVertsNortheast","Arenaria interpres","Arenaria interpres","Arenaria interpres","2","0","21391469|21593906",""
"Ariomma bondi","ReneeFrancolini_MaineFish","Ariomma bondi","Ariomma bondi","Ariomma bondi","0","0","",""
"Asio flammeus","HarrisonGoldspiel_LandVertsNortheast","Asio flammeus","Asio flammeus","Asio flammeus","2","4","902686875|883743732","2213673|15420930|15420929|4099788"
"Asio otus","HarrisonGoldspiel_LandVertsNortheast","Asio otus","Asio otus","Asio otus","2","1","1511243906|1475685128","37359599"
"Aspidoscelis sexlineatus","HarrisonGoldspiel_LandVertsNortheast","Aspidoscelis sexlineatus","Aspidoscelis sexlineatus","Aspidoscelis sexlineatus","6","3","2328363293|2314117809|2314117725|2314117711|2314117697|2314117683","13183056|15777680|15777679"
"Athene cunicularia","HarrisonGoldspiel_LandVertsNortheast","Athene cunicularia","Athene cunicularia","Athene cunicularia","0","2","","1495922303|7715108"
"Aythya americana","HarrisonGoldspiel_LandVertsNortheast","Aythya americana","Aythya americana","Aythya americana","2","1","4887659|5835932","294999463"
"Aythya collaris","HarrisonGoldspiel_LandVertsNortheast","Aythya collaris","Aythya collaris","Aythya collaris","0","0","",""
"Aythya fuligula","HarrisonGoldspiel_LandVertsNortheast","Aythya fuligula","Aythya fuligula","Aythya fuligula","2","96","669032065|662020141","1802844852|389984943|389984942|389984941|389984940|389984939|389984938|389984937|389984936|389984935|389984934|389984933|389984932|389984931|389984930|389984929|389984928|389984927|389984926|389984925|389984924|389984923|389984922|389984921|389984920|389984919|389984918|389984917|389984916|389984915|389984914|389984913|389984912|389984911|389984910|389984909|389984908|389984907|389984906|389984905|389984904|389984903|389984902|389984901|389984900|389984899|389984898|389984897|389984896|389984895|389984894|389984893|389984892|389984891|389984890|389984889|389984888|389984887|389984886|389984885|389984884|389984883|389984882|389984881|389984880|389984879|389984878|389984877|389984876|389984875|389984874|389984873|389984872|389984871|389984870|389984869|389984868|389984867|389984866|389984865|389984864|389984863|389984862|389984861|389984860|389984859|389984858|389984857|389984856|389984855|389984854|389984853|389984852|389984851|389984850|37725793"
"Aythya marila","HarrisonGoldspiel_LandVertsNortheast","Aythya marila","Aythya marila","Aythya marila","1","0","2325199580",""
"Aythya valisineria","HarrisonGoldspiel_LandVertsNortheast","Aythya valisineria","Aythya valisineria","Aythya valisineria","0","0","",""
"Baelophus bicolor","HarrisonGoldspiel_LandVertsNortheast","Baelophus bicolor","Baeolophus bicolor","Baeolophus bicolor","0","0","",""
"Baeolophus bicolor","NoahEmail","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","0","0","",""
