"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Setophaga palmarum","Setophaga palmarum",2,"Wikispecies","638120bd-ed59-507d-827a-436e618b936b","Setophaga palmarum","","","","11213",0,"http://species.wikimedia.org/wiki/Setophaga_palmarum","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga pensylvanica","Setophaga pensylvanica",2,"Wikispecies","d45657ac-60f4-541c-98e6-5075e74050de","Setophaga pensylvanica","","","","11214",0,"http://species.wikimedia.org/wiki/Setophaga_pensylvanica","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga petechia","Setophaga petechia",2,"Wikispecies","9f0a9686-f29f-59de-ab51-59a951f4211f","Setophaga petechia","","","","11217",0,"http://species.wikimedia.org/wiki/Setophaga_petechia","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga pinus","Setophaga pinus",2,"Wikispecies","5328e1a4-0f90-50df-a003-d118f99f30ae","Setophaga pinus","","","","11072",0,"http://species.wikimedia.org/wiki/Setophaga_pinus","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga ruticilla","Setophaga ruticilla",2,"Wikispecies","4882572a-0fbb-59e2-8dba-71cfd09dad28","Setophaga ruticilla","","","","20393",0,"http://species.wikimedia.org/wiki/Setophaga_ruticilla","2022-06-10T19:46:47Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga striata","Setophaga striata",2,"Wikispecies","24cccecf-be3d-583e-8429-90082a49fa32","Setophaga striata","","","","11188",0,"http://species.wikimedia.org/wiki/Setophaga_striata","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga tigrina","Setophaga tigrina",2,"Wikispecies","7a6a8056-b714-5136-b760-07407cd40b10","Setophaga tigrina","","","","11070",0,"http://species.wikimedia.org/wiki/Setophaga_tigrina","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga townsendi","Setophaga townsendi",2,"Wikispecies","daad06f6-b076-596a-86c0-816b0994f86a","Setophaga townsendi","","","","11215",0,"http://species.wikimedia.org/wiki/Setophaga_townsendi","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Setophaga virens","Setophaga virens",2,"Wikispecies","380a7d5f-f70a-5b6b-a872-5f8827c0f7fb","Setophaga virens","","","","11216",0,"http://species.wikimedia.org/wiki/Setophaga_virens","2022-06-10T19:46:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Vermivora chrysoptera","Vermivora chrysoptera",2,"Wikispecies","d77d89e1-22d4-5f7f-82e3-3d1edda71073","Vermivora chrysoptera","","","","20400",0,"http://species.wikimedia.org/wiki/Vermivora_chrysoptera","2022-06-10T19:46:47Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
