"source_binomial","source","submitted_name","matched_name2","search_name"
"Cemophora coccinea","HarrisonGoldspiel_LandVertsNortheast","Cemophora coccinea","Cemophora coccinea","Cemophora coccinea"
"Centronyx henslowii","HarrisonGoldspiel_LandVertsNortheast","Centronyx henslowii","Centronyx henslowii","Centronyx henslowii"
"Centropristis striata","ReneeFrancolini_MaineFish","Centropristis striata","Centropristis striata","Centropristis striata"
"Cepphus grylle","HarrisonGoldspiel_LandVertsNortheast","Cepphus grylle","Cepphus grylle","Cepphus grylle"
"Certhia americana","HarrisonGoldspiel_LandVertsNortheast","Certhia americana","Certhia americana","Certhia americana"
"Chaetodon ocellatus","ReneeFrancolini_MaineFish","Chaetodon ocellatus","Chaetodon ocellatus","Chaetodon ocellatus"
"Chaetura pelagica","HarrisonGoldspiel_LandVertsNortheast","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica"
"Charadrius hiaticula","HarrisonGoldspiel_LandVertsNortheast","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula"
"Charadrius melodus","HarrisonGoldspiel_LandVertsNortheast","Charadrius melodus","Charadrius melodus","Charadrius melodus"
"Charadrius montanus","HarrisonGoldspiel_LandVertsNortheast","Charadrius montanus","Charadrius montanus","Charadrius montanus"
"Charadrius nivosus","HarrisonGoldspiel_LandVertsNortheast","Charadrius nivosus","Charadrius nivosus","Charadrius nivosus"
"Charadrius semipalmatus","HarrisonGoldspiel_LandVertsNortheast","Charadrius semipalmatus","Charadrius semipalmatus","Charadrius semipalmatus"
"Charadrius vociferus","HarrisonGoldspiel_LandVertsNortheast","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus"
"Charadrius wilsonia","HarrisonGoldspiel_LandVertsNortheast","Charadrius wilsonia","Charadrius wilsonia","Charadrius wilsonia"
"Chelydra serpentina","HarrisonGoldspiel_LandVertsNortheast","Chelydra serpentina","Chelydra serpentina","Chelydra serpentina"
"Childonias leucopterus","HarrisonGoldspiel_LandVertsNortheast","Childonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus"
"Childonias niger","HarrisonGoldspiel_LandVertsNortheast","Childonias niger","Childonias niger","Childonias niger"
"Chilomycterus schoepfii","ReneeFrancolini_MaineFish","Chilomycterus schoepfii","Chilomycterus schoepfii","Chilomycterus schoepfii"
"Chondestes grammacus","HarrisonGoldspiel_LandVertsNortheast","Chondestes grammacus","Chondestes grammacus","Chondestes grammacus"
"Chordeiles acutipennis","HarrisonGoldspiel_LandVertsNortheast","Chordeiles acutipennis","Chordeiles acutipennis","Chordeiles acutipennis"
"Chordeiles minor","HarrisonGoldspiel_LandVertsNortheast","Chordeiles minor","Chordeiles minor","Chordeiles minor"
"Chroicocephalus philadelphia","HarrisonGoldspiel_LandVertsNortheast","Chroicocephalus philadelphia","Chroicocephalus philadelphia","Chroicocephalus philadelphia"
"Chroicocephalus ridibundus","HarrisonGoldspiel_LandVertsNortheast","Chroicocephalus ridibundus","Chroicocephalus ridibundus","Chroicocephalus ridibundus"
"Chrysemys picta","HarrisonGoldspiel_LandVertsNortheast","Chrysemys picta","Chrysemys picta","Chrysemys picta"
"Circus hudsonius","HarrisonGoldspiel_LandVertsNortheast","Circus hudsonius","Circus hudsonius","Circus hudsonius"
"Cistothorus palustris","HarrisonGoldspiel_LandVertsNortheast","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris"
"Cistothorus platensis","HarrisonGoldspiel_LandVertsNortheast","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis"
"Clangula hyemalis","HarrisonGoldspiel_LandVertsNortheast","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis"
"Clemmys guttata","HarrisonGoldspiel_LandVertsNortheast","Clemmys guttata","Clemmys guttata","Clemmys guttata"
"Clemmys muhlenbergii","HarrisonGoldspiel_LandVertsNortheast","Clemmys muhlenbergii","Clemmys muhlenbergii","Clemmys muhlenbergii"
"Clonophis kirtlandii","HarrisonGoldspiel_LandVertsNortheast","Clonophis kirtlandii","Clonophis kirtlandii","Clonophis kirtlandii"
"Clupea harengus","ReneeFrancolini_MaineFish","Clupea harengus","Clupea harengus","Clupea harengus"
"Coccothraustes vespertinus","HarrisonGoldspiel_LandVertsNortheast","Coccothraustes vespertinus","Coccothraustes vespertinus","Coccothraustes vespertinus"
"Coccyzus americanus","HarrisonGoldspiel_LandVertsNortheast","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus"
"Coccyzus erythropthalmus","HarrisonGoldspiel_LandVertsNortheast","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus"
"Colaptes auratus","HarrisonGoldspiel_LandVertsNortheast","Colaptes auratus","Colaptes auratus","Colaptes auratus"
"Colibri thalassinus","HarrisonGoldspiel_LandVertsNortheast","Colibri thalassinus","Colibri thalassinus","Colibri thalassinus"
"Colinus virginianus","HarrisonGoldspiel_LandVertsNortheast","Colinus virginianus","Colinus virginianus","Colinus virginianus"
"Coluber constrictor","HarrisonGoldspiel_LandVertsNortheast","Coluber constrictor","Coluber constrictor","Coluber constrictor"
"Columba livia","HarrisonGoldspiel_LandVertsNortheast","Columba livia","Columba livia","Columba livia"
