source_binomial,phylum,source,submitted_name,matched_name2,search_name
Bicidiopsis tubicola,cnidaria,GoMA_census_fauna,Bicidiopsis tubicola,Bicidiopsis tubicola,Bicidiopsis tubicola
Bittiolum alternatum,mollusca,GoMA_census_fauna,Bittiolum alternatum,Bittiolum alternatum,Bittiolum alternatum
Bittium alternatum,mollusca,GoMA_census_fauna,Bittium alternatum,Bittium alternatum,Bittium alternatum
Bolbosoma turbinella,acanthocephala,GoMA_census_fauna,Bolbosoma turbinella,Bolbosoma turbinella,Bolbosoma turbinella
Bolbosoma vasculosum,acanthocephala,GoMA_census_fauna,Bolbosoma vasculosum,Bolbosoma vasculosum,Bolbosoma vasculosum
Bolinopsis infundibulum,ctenophora,GoMA_census_fauna,Bolinopsis infundibulum,Bolinopsis infundibulum,Bolinopsis infundibulum
Boltenia echinata,chordata,GoMA_census_fauna,Boltenia echinata,Boltenia echinata,Boltenia echinata
Boltenia ovifera,chordata,GoMA_census_fauna,Boltenia ovifera,Boltenia ovifera,Boltenia ovifera
Boonea bisuturalis,mollusca,GoMA_census_fauna,Boonea bisuturalis,Boonea bisuturalis,Boonea bisuturalis
Boonea seminuda,mollusca,GoMA_census_fauna,Boonea seminuda,Boonea seminuda,Boonea seminuda
Bopyroides hippolytes,arthropoda,GoMA_census_fauna,Bopyroides hippolytes,Bopyroides hippolytes,Bopyroides hippolytes
Boreotrophon clathratus,mollusca,GoMA_census_fauna,Boreotrophon clathratus,Boreotrophon clathratus,Boreotrophon clathratus
Boreotrophon truncatus,mollusca,GoMA_census_fauna,Boreotrophon truncatus,Boreotrophon truncatus,Boreotrophon truncatus
Bostrichobranchus pilularis,chordata,GoMA_census_fauna,Bostrichobranchus pilularis,Bostrichobranchus pilularis,Bostrichobranchus pilularis
Bothriomolus balticus,platyhelminthes,GoMA_census_fauna,Bothriomolus balticus,Bothriomolus balticus,Bothriomolus balticus
Botrylloides diegense,chordata,GoMA_census_fauna,Botrylloides diegense,Botrylloides diegense,Botrylloides diegense
Botryllus schlosseri,chordata,GoMA_census_fauna,Botryllus schlosseri,Botryllus schlosseri,Botryllus schlosseri
Bougainvillia superciliaris,cnidaria,GoMA_census_fauna,Bougainvillia superciliaris,Bougainvillia superciliaris,Bougainvillia superciliaris
Bowerbankia gracilis,bryozoan,GoMA_census_fauna,Bowerbankia gracilis,Bowerbankia gracilis,Bowerbankia gracilis
Brachidontes modiolus,mollusca,GoM bivalvia species list,Brachidontes modiolus,Brachidontes modiolus,Brachidontes modiolus
Brada granosa,annelida,GoMA_census_fauna,Brada granosa,Brada granosa,Brada granosa
Brada setosa,annelida,GoMA_census_fauna,Brada setosa,Brada setosa,Brada setosa
