source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Opheodrys aestivus
HarrisonGoldspiel_LandVertsNortheast,Pantherophis alleghaniensis
HarrisonGoldspiel_LandVertsNortheast,Pantherophis spiloides
HarrisonGoldspiel_LandVertsNortheast,Pantherophis vulpinus
HarrisonGoldspiel_LandVertsNortheast,Pituophis catenifer
HarrisonGoldspiel_LandVertsNortheast,Regina septemvittata
HarrisonGoldspiel_LandVertsNortheast,Tantilla coronata
HarrisonGoldspiel_LandVertsNortheast,Thamnophis brachystoma
HarrisonGoldspiel_LandVertsNortheast,Thamnophis butleri
HarrisonGoldspiel_LandVertsNortheast,Thamnophis proximus
HarrisonGoldspiel_LandVertsNortheast,Thamnophis radix
HarrisonGoldspiel_LandVertsNortheast,Virginia valeriae
HarrisonGoldspiel_LandVertsNortheast,Sceloporus undulatus
HarrisonGoldspiel_LandVertsNortheast,Podarcis sicula
HarrisonGoldspiel_LandVertsNortheast,Plestiodon anthracinus
HarrisonGoldspiel_LandVertsNortheast,Plestiodon fasciatus
HarrisonGoldspiel_LandVertsNortheast,Plestiodon laticeps
HarrisonGoldspiel_LandVertsNortheast,Scincella lateralis
HarrisonGoldspiel_LandVertsNortheast,Aspidoscelis sexlineatus
HarrisonGoldspiel_LandVertsNortheast,Agkistrodon contortrix
HarrisonGoldspiel_LandVertsNortheast,Agkistrodon piscivorus
HarrisonGoldspiel_LandVertsNortheast,Sisturus catenatus
HarrisonGoldspiel_LandVertsNortheast,Accipiter cooperii
HarrisonGoldspiel_LandVertsNortheast,Accipiter gentilis
HarrisonGoldspiel_LandVertsNortheast,Accipiter striatus
HarrisonGoldspiel_LandVertsNortheast,Aquila chrysaetos
HarrisonGoldspiel_LandVertsNortheast,Buteo albonotatus
HarrisonGoldspiel_LandVertsNortheast,Buteo jamaicensis
HarrisonGoldspiel_LandVertsNortheast,Buteo lagopus
HarrisonGoldspiel_LandVertsNortheast,Buteo lineatus
HarrisonGoldspiel_LandVertsNortheast,Buteo platypterus
HarrisonGoldspiel_LandVertsNortheast,Buteo swainsoni
HarrisonGoldspiel_LandVertsNortheast,Circus hudsonius
HarrisonGoldspiel_LandVertsNortheast,Elanoides forficatus
HarrisonGoldspiel_LandVertsNortheast,Elanus leucurus
HarrisonGoldspiel_LandVertsNortheast,Geranoaetus albicaudatus
HarrisonGoldspiel_LandVertsNortheast,Haliaeetus albicilla
HarrisonGoldspiel_LandVertsNortheast,Haliaeetus leucocephalus
HarrisonGoldspiel_LandVertsNortheast,Haliaeetus pelagicus
HarrisonGoldspiel_LandVertsNortheast,Ictinia mississippiensis
HarrisonGoldspiel_LandVertsNortheast,Pandion haliaetus
HarrisonGoldspiel_LandVertsNortheast,Aix galericulata
HarrisonGoldspiel_LandVertsNortheast,Aix sponsa
HarrisonGoldspiel_LandVertsNortheast,Anas acuta
